Mes;Vazao
nov/1928;2964
dez/1928;1126
jan/1929;608
fev/1929;260
mar/1929;163
abr/1929;107
mai/1929;120
jun/1929;784
jul/1929;2353
ago/1929;4261
set/1929;6228
out/1929;6385
nov/1929;2542
dez/1929;1022
jan/1930;519
fev/1930;293
mar/1930;153
abr/1930;93
mai/1930;88
jun/1930;925
jul/1930;1825
ago/1930;4674
set/1930;6118
out/1930;5884
nov/1930;2657
dez/1930;1013
jan/1931;558
fev/1931;271
mar/1931;127
abr/1931;116
mai/1931;327
jun/1931;947
jul/1931;1702
ago/1931;2977
set/1931;5584
out/1931;4731
nov/1931;1676
dez/1931;889
jan/1932;553
fev/1932;271
mar/1932;136
abr/1932;118
mai/1932;166
jun/1932;570
jul/1932;1769
ago/1932;3250
set/1932;6599
out/1932;4782
nov/1932;2187
dez/1932;971
jan/1933;485
fev/1933;229
mar/1933;142
abr/1933;88
mai/1933;94
jun/1933;500
jul/1933;2020
ago/1933;3978
set/1933;6214
out/1933;3523
nov/1933;1476
dez/1933;893
jan/1934;430
fev/1934;201
mar/1934;102
abr/1934;62
mai/1934;52
jun/1934;145
jul/1934;957
ago/1934;3642
set/1934;5056
out/1934;4194
nov/1934;2057
dez/1934;809
jan/1935;362
fev/1935;187
mar/1935;77
abr/1935;54
mai/1935;39
jun/1935;97
jul/1935;1124
ago/1935;4037
set/1935;5224
out/1935;4160
nov/1935;1478
dez/1935;612
jan/1936;266
fev/1936;127
mar/1936;76
abr/1936;44
mai/1936;357
jun/1936;694
jul/1936;1381
ago/1936;3023
set/1936;5514
out/1936;5836
nov/1936;2104
dez/1936;998
jan/1937;424
fev/1937;197
mar/1937;112
abr/1937;93
mai/1937;98
jun/1937;206
jul/1937;864
ago/1937;2310
set/1937;4786
out/1937;4033
nov/1937;1828
dez/1937;655
jan/1938;290
fev/1938;130
mar/1938;83
abr/1938;58
mai/1938;55
jun/1938;183
jul/1938;751
ago/1938;3107
set/1938;5322
out/1938;4780
nov/1938;2171
dez/1938;720
jan/1939;312
fev/1939;138
mar/1939;67
abr/1939;39
mai/1939;73
jun/1939;260
jul/1939;669
ago/1939;2262
set/1939;4613
out/1939;4925
nov/1939;2023
dez/1939;838
jan/1940;370
fev/1940;158
mar/1940;84
abr/1940;45
mai/1940;47
jun/1940;180
jul/1940;909
ago/1940;2671
set/1940;3516
out/1940;3657
nov/1940;1867
dez/1940;657
jan/1941;297
fev/1941;142
mar/1941;59
abr/1941;32
mai/1941;42
jun/1941;218
jul/1941;942
ago/1941;2420
set/1941;5368
out/1941;3093
nov/1941;1487
dez/1941;709
jan/1942;324
fev/1942;150
mar/1942;65
abr/1942;46
mai/1942;121
jun/1942;290
jul/1942;753
ago/1942;2251
set/1942;4104
out/1942;2155
nov/1942;1213
dez/1942;596
jan/1943;233
fev/1943;108
mar/1943;47
abr/1943;44
mai/1943;72
jun/1943;165
jul/1943;667
ago/1943;2159
set/1943;4762
out/1943;3988
nov/1943;1479
dez/1943;539
jan/1944;245
fev/1944;106
mar/1944;43
abr/1944;28
mai/1944;49
jun/1944;111
jul/1944;472
ago/1944;1798
set/1944;4445
out/1944;2828
nov/1944;1333
dez/1944;528
jan/1945;199
fev/1945;93
mar/1945;39
abr/1945;23
mai/1945;34
jun/1945;117
jul/1945;434
ago/1945;2772
set/1945;4592
out/1945;4266
nov/1945;1631
dez/1945;592
jan/1946;217
fev/1946;101
mar/1946;41
abr/1946;41
mai/1946;79
jun/1946;287
jul/1946;957
ago/1946;3034
set/1946;4825
out/1946;5275
nov/1946;2460
dez/1946;854
jan/1947;371
fev/1947;154
mar/1947;62
abr/1947;25
mai/1947;30
jun/1947;165
jul/1947;911
ago/1947;2599
set/1947;5002
out/1947;4333
nov/1947;1231
dez/1947;482
jan/1948;183
fev/1948;85
mar/1948;47
abr/1948;31
mai/1948;51
jun/1948;322
jul/1948;1643
ago/1948;3882
set/1948;6086
out/1948;4516
nov/1948;2088
dez/1948;757
jan/1949;365
fev/1949;190
mar/1949;108
abr/1949;98
mai/1949;82
jun/1949;122
jul/1949;619
ago/1949;3332
set/1949;6281
out/1949;3478
nov/1949;1433
dez/1949;656
jan/1950;286
fev/1950;145
mar/1950;74
abr/1950;42
mai/1950;65
jun/1950;128
jul/1950;730
ago/1950;2518
set/1950;5198
out/1950;5547
nov/1950;2391
dez/1950;768
jan/1951;374
fev/1951;207
mar/1951;142
abr/1951;87
mai/1951;221
jun/1951;544
jul/1951;1583
ago/1951;3753
set/1951;5349
out/1951;5431
nov/1951;5433
dez/1951;1814
jan/1952;751
fev/1952;419
mar/1952;208
abr/1952;116
mai/1952;100
jun/1952;186
jul/1952;1208
ago/1952;3221
set/1952;5134
out/1952;5513
nov/1952;2316
dez/1952;906
jan/1953;508
fev/1953;238
mar/1953;143
abr/1953;81
mai/1953;97
jun/1953;560
jul/1953;2174
ago/1953;4436
set/1953;6575
out/1953;5152
nov/1953;2373
dez/1953;1069
jan/1954;608
fev/1954;325
mar/1954;195
abr/1954;188
mai/1954;208
jun/1954;642
jul/1954;1947
ago/1954;4284
set/1954;6127
out/1954;5148
nov/1954;3280
dez/1954;1674
jan/1955;760
fev/1955;432
mar/1955;289
abr/1955;207
mai/1955;222
jun/1955;677
jul/1955;2037
ago/1955;4076
set/1955;6095
out/1955;5985
nov/1955;2763
dez/1955;1286
jan/1956;659
fev/1956;377
mar/1956;238
