Mes;Vazao
1/2/1934;33857,50
1/3/1934;31087,42
1/4/1934;34174,67
1/5/1934;35871,29
1/6/1934;33327,00
1/7/1934;31155,48
1/8/1934;32582,90
1/9/1934;39028,00
1/10/1934;43948,39
1/11/1934;54800,33
1/12/1934;63668,07
1/1/1935;57305,80
1/2/1935;43299,29
1/3/1935;40504,84
1/4/1935;43648,00
1/5/1935;44758,71
1/6/1935;42303,33
1/7/1935;38351,61
1/8/1935;31833,55
1/9/1935;35582,00
1/10/1935;40445,16
1/11/1935;45822,33
1/12/1935;49041,93
1/1/1936;44865,48
1/2/1936;37784,48
1/3/1936;35271,29
1/4/1936;36523,33
1/5/1936;37885,16
1/6/1936;35485,67
1/7/1936;32897,42
1/8/1936;32636,77
1/9/1936;39346,00
1/10/1936;47427,74
1/11/1936;53583,33
1/12/1936;56767,74
1/1/1937;45878,07
1/2/1937;37741,07
1/3/1937;37619,68
1/4/1937;40806,00
1/5/1937;44143,55
1/6/1937;41455,33
1/7/1937;31738,06
1/8/1937;31402,58
1/9/1937;34774,33
1/10/1937;40655,80
1/11/1937;52489,00
1/12/1937;57904,20
1/1/1938;49143,55
1/2/1938;34132,86
1/3/1938;34406,45
1/4/1938;34583,33
1/5/1938;35915,16
1/6/1938;32877,33
1/7/1938;30101,94
1/8/1938;32252,26
1/9/1938;36706,33
1/10/1938;42417,42
1/11/1938;52348,00
1/12/1938;56788,71
1/1/1939;45854,84
1/2/1939;39078,57
1/3/1939;37250,32
1/4/1939;38084,00
1/5/1939;40883,87
1/6/1939;37466,00
1/7/1939;29991,61
1/8/1939;29035,16
1/9/1939;32017,67
1/10/1939;42338,39
1/11/1939;52944,67
1/12/1939;62378,07
1/1/1940;49577,42
1/2/1940;41421,04
1/3/1940;38635,48
1/4/1940;40380,00
1/5/1940;42226,45
1/6/1940;38923,00
1/7/1940;30207,74
1/8/1940;32482,26
1/9/1940;36502,00
1/10/1940;42107,10
1/11/1940;50236,33
1/12/1940;52782,90
1/1/1941;44437,74
1/2/1941;34865,36
1/3/1941;34620,97
1/4/1941;34996,33
1/5/1941;34179,03
1/6/1941;35267,33
1/7/1941;34728,71
1/8/1941;31365,81
1/9/1941;38021,00
1/10/1941;41358,07
1/11/1941;47721,33
1/12/1941;57109,36
1/1/1942;55202,90
1/2/1942;45068,21
1/3/1942;38440,64
1/4/1942;37180,00
1/5/1942;36645,80
1/6/1942;36496,00
1/7/1942;31189,03
1/8/1942;33167,10
1/9/1942;41282,67
1/10/1942;46569,03
1/11/1942;47859,00
1/12/1942;46446,77
1/1/1943;39330,32
1/2/1943;32424,64
1/3/1943;29688,39
1/4/1943;30166,33
1/5/1943;32196,13
1/6/1943;32047,33
1/7/1943;27338,39
1/8/1943;28172,90
1/9/1943;33839,00
1/10/1943;41056,13
1/11/1943;45798,67
1/12/1943;43731,29
1/1/1944;39590,64
1/2/1944;35667,24
1/3/1944;31669,68
1/4/1944;39993,67
1/5/1944;40787,42
1/6/1944;36457,33
1/7/1944;27090,97
1/8/1944;28522,26
1/9/1944;36420,67
1/10/1944;43837,42
1/11/1944;50266,67
1/12/1944;52029,68
1/1/1945;42076,77
1/2/1945;32718,57
1/3/1945;31842,26
1/4/1945;31013,33
1/5/1945;31354,84
1/6/1945;34559,67
1/7/1945;30960,97
1/8/1945;30081,94
1/9/1945;36828,33
1/10/1945;46177,10
1/11/1945;54575,33
1/12/1945;56253,23
1/1/1946;43728,39
1/2/1946;31860,00
1/3/1946;29340,32
1/4/1946;30581,67
1/5/1946;34245,48
1/6/1946;31737,33
1/7/1946;28119,36
1/8/1946;29271,29
1/9/1946;36843,67
1/10/1946;46116,13
1/11/1946;54852,67
1/12/1946;61294,84
1/1/1947;50351,61
1/2/1947;39852,86
1/3/1947;36077,42
1/4/1947;39059,67
1/5/1947;45992,26
1/6/1947;44512,67
1/7/1947;36909,36
1/8/1947;34896,45
1/9/1947;36734,00
1/10/1947;44220,97
1/11/1947;49815,67
1/12/1947;49539,03
1/1/1948;46586,45
1/2/1948;39350,00
1/3/1948;37984,84
1/4/1948;36183,00
1/5/1948;37094,52
1/6/1948;35079,67
1/7/1948;33554,84
1/8/1948;34632,58
1/9/1948;42035,33
1/10/1948;50617,74
1/11/1948;60171,67
1/12/1948;62742,90
