MES;VAZAO
nov-1961;12,9
dez-1961;25,1
jan-1962;48,4
fev-1962;83,9
mar-1962;39,5
abr-1962;19,1
mai-1962;17,1
jun-1962;14,2
jul-1962;12
ago-1962;10,2
set-1962;15
out-1962;19,1
nov-1962;36,5
dez-1962;64,8
jan-1963;42,7
fev-1963;57,9
mar-1963;26,1
abr-1963;16,3
mai-1963;13,6
jun-1963;12,3
jul-1963;10,4
ago-1963;9,49
set-1963;6,09
out-1963;5,86
nov-1963;11,1
dez-1963;9,05
jan-1964;40,6
fev-1964;104
mar-1964;28,1
abr-1964;22,8
mai-1964;17
jun-1964;12,8
jul-1964;15,7
ago-1964;11,7
set-1964;12
out-1964;17,3
nov-1964;28,6
dez-1964;77,2
jan-1965;97,7
fev-1965;129
mar-1965;84
abr-1965;39,4
mai-1965;43,8
jun-1965;23,6
jul-1965;19,2
ago-1965;15,7
set-1965;13,8
out-1965;30,7
nov-1965;40,2
dez-1965;52,5
jan-1966;168
fev-1966;42,1
mar-1966;84,6
abr-1966;62,4
mai-1966;31,4
jun-1966;18,1
jul-1966;16,6
ago-1966;15,9
set-1966;15,2
out-1966;24,4
nov-1966;69,6
dez-1966;115
jan-1967;126
fev-1967;112
mar-1967;90,9
abr-1967;54,4
mai-1967;31
jun-1967;27,4
jul-1967;24,1
ago-1967;19,9
set-1967;17,5
out-1967;17,1
nov-1967;45,2
dez-1967;76,2
jan-1968;49,1
fev-1968;61,5
mar-1968;72
abr-1968;34,1
mai-1968;20,1
jun-1968;15,3
jul-1968;16,9
ago-1968;17,1
set-1968;16,1
out-1968;19,5
nov-1968;14,7
dez-1968;52,5
jan-1969;87,8
fev-1969;41,2
mar-1969;59,8
abr-1969;31,6
mai-1969;15,3
jun-1969;14,4
jul-1969;11,5
ago-1969;13,6
set-1969;9,2
out-1969;18,4
nov-1969;29,6
dez-1969;46,4
jan-1970;34,1
fev-1970;19,6
mar-1970;18,4
abr-1970;11,2
mai-1970;10,1
jun-1970;8,5
jul-1970;8,18
ago-1970;8,63
set-1970;15,4
out-1970;16,1
nov-1970;19,2
dez-1970;14,5
jan-1971;15,7
fev-1971;15,7
mar-1971;23,6
abr-1971;14,7
mai-1971;15,5
jun-1971;9,31
jul-1971;7,75
ago-1971;8,6
set-1971;14,5
out-1971;14,8
nov-1971;48,9
dez-1971;74,1
jan-1972;41,7
fev-1972;55,6
mar-1972;60,8
abr-1972;29
mai-1972;15,7
jun-1972;10,1
jul-1972;12,1
ago-1972;11,1
set-1972;10,8
out-1972;29,1
nov-1972;40,8
dez-1972;43,9
jan-1973;60,2
fev-1973;72,5
mar-1973;34,1
abr-1973;38
mai-1973;23,3
jun-1973;14,5
jul-1973;12,1
ago-1973;10
set-1973;10,7
out-1973;25,2
nov-1973;70,4
dez-1973;64,8
jan-1974;56,1
fev-1974;32,5
mar-1974;28,8
abr-1974;30,7
mai-1974;17
jun-1974;14,8
jul-1974;9,98
ago-1974;7,47
set-1974;7,37
out-1974;18,7
nov-1974;18,5
dez-1974;52,6
jan-1975;99,8
fev-1975;72,9
mar-1975;41
abr-1975;36,4
mai-1975;26
jun-1975;19,6
jul-1975;16,7
ago-1975;8,69
set-1975;11,1
out-1975;24,9
nov-1975;47,9
dez-1975;45,1
jan-1976;38,4
fev-1976;39,7
mar-1976;30,6
abr-1976;19,7
mai-1976;18,5
jun-1976;14,1
jul-1976;13,9
ago-1976;15,5
set-1976;28
out-1976;35,9
nov-1976;49,8
dez-1976;67,4
jan-1977;84,5
fev-1977;48,5
mar-1977;25,5
abr-1977;31,1
mai-1977;17,3
jun-1977;11,5
jul-1977;9,72
ago-1977;8,38
set-1977;14,3
out-1977;10,3
nov-1977;42,3
dez-1977;86,3
jan-1978;120
fev-1978;59,5
mar-1978;48,8
abr-1978;31,2
mai-1978;27
jun-1978;21,2
jul-1978;14,4
ago-1978;12,5
set-1978;11,8
out-1978;12,1
nov-1978;43,7
dez-1978;39,8
jan-1979;67,8
fev-1979;181,66
mar-1979;81,92
abr-1979;51,84
mai-1979;33,48
